<soft> Caption: Windows SDK Desktop Libs arm ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft .NET Framework 4 Multi-Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2017 X86 Additional Runtime - 14.20.27323 ; InstallDate: 20190326</soft>
<soft> Caption: Windows Mobile Extension SDK Contracts ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK for Windows Store Apps Libs ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30411 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft SQL Server Data-Tier Application Framework (x86) - ru-RU ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual Studio Setup Configuration ; InstallDate: 20190215</soft>
<soft> Caption: Visual Studio 2015 Prerequisites - RUS Language Pack ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual Basic for Applications 7.1 (x64) English ; InstallDate: 20200301</soft>
<soft> Caption: SQL Server 2017 Common Files ; InstallDate: 20191111</soft>
<soft> Caption: Autodesk Advanced Material Library Low Resolution Image Library 2019 ; InstallDate: 20190214</soft>
<soft> Caption: Объекты AMO Microsoft SQL Server 2016  ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4048 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK for Windows Store Apps Libs ; InstallDate: 20190326</soft>
<soft> Caption: WinRT Intellisense IoT - Other Languages ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK Desktop Headers arm64 ; InstallDate: 20190326</soft>
<soft> Caption: Объекты Microsoft SQL Server 2014 AMO  ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft TestPlatform SDK Local Feed ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft .NET Framework 4.5.2 Multi-Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: vs_clickoncesigntoolmsi ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2019 X86 Debug Runtime - 14.20.27508 ; InstallDate: 20190902</soft>
